"species","x","y","year","ID"
"Araucaria angustifolia",-51.8961,-25.1928,"2018","424"
"Araucaria angustifolia",-52.4064,-25.2411,"2018","425"
"Araucaria angustifolia",-51.4678,-25.3517,"2018","426"
"Araucaria angustifolia",-51.0594,-25.8072,"2018","432"
"Araucaria angustifolia",-51.9911,-25.8511,"2018","433"
"Araucaria angustifolia",-50.8883,-26.0717,"2018","434"
"Araucaria angustifolia",-51.8164,-26.2519,"2018","435"
"Araucaria angustifolia",-51.3344,-26.2658,"2018","436"
"Araucaria angustifolia",-51.3844,-26.5136,"2018","437"
"Araucaria angustifolia",-49.8183,-28.5497,"2018","440"
"Araucaria angustifolia",-50.0742,-28.9133,"2018","441"
"Araucaria angustifolia",-50.2006,-29.3133,"2018","442"
"Araucaria angustifolia",-50.0325,-29.3475,"2018","443"
"Araucaria angustifolia",-52.6353,-28.3811,"2018","445"
"Araucaria angustifolia",-52.1256,-28.6531,"2018","446"
"Araucaria angustifolia",-51.5089,-29.0897,"2018","447"
"Araucaria angustifolia",-52.9453,-29.1869,"2018","448"
"Araucaria angustifolia",-52.8653,-29.4547,"2018","451"
"Araucaria angustifolia",-53.8156,-29.5686,"2018","452"
"Araucaria angustifolia",-52.6789,-27.3447,"2018","453"
"Araucaria angustifolia",-52.9967,-27.3583,"2018","454"
"Araucaria angustifolia",-52.5489,-27.5122,"2018","455"
"Araucaria angustifolia",-51.3983,-27.8383,"2018","457"
"Araucaria angustifolia",-52.8283,-27.9058,"2018","459"
"Araucaria angustifolia",-51.785887,-25.046811,"2022","460"
"Araucaria angustifolia",-51.9308,-27.9183,"2018","461"
"Araucaria angustifolia",-53.5203,-28.0028,"2018","463"
"Araucaria angustifolia",-52.3467,-28.0842,"2018","465"
"Araucaria angustifolia",-51.5881,-28.1142,"2018","466"
"Araucaria angustifolia",-52.1889,-28.2869,"2018","467"
"Araucaria angustifolia",-50.5633,-28.4158,"2018","468"
"Araucaria angustifolia",-51.2922,-28.4694,"2018","469"
"Araucaria angustifolia",-51.3064,-28.6608,"2018","472"
"Araucaria angustifolia",-50.9411,-28.6703,"2018","473"
