"species","longitude","latitude"
"Araucaria angustifolia",-50.4,-28.3503
"Araucaria angustifolia",-52.74,-26.955
"Araucaria angustifolia",-49.0544,-24.1347
"Araucaria angustifolia",-49.4575,-23.8781
"Araucaria angustifolia",-46.6675,-22.6894
"Araucaria angustifolia",-47.6411,-23.3189
"Araucaria angustifolia",-47.0761,-21.2203
"Araucaria angustifolia",-46.7172,-22.1708
"Araucaria angustifolia",-50.024535,-28.444145
"Araucaria angustifolia",-54.755543,-25.142002
"Araucaria angustifolia",-54.245142,-25.098715
"Araucaria angustifolia",-50.876722,-29.382453
"Araucaria angustifolia",-50.36,-26.28
"Araucaria angustifolia",-53.052482,-25.771417
"Araucaria angustifolia",-54.745426,-27.377323
"Araucaria angustifolia",-50.922347,-27.023594
"Araucaria angustifolia",-53.528738,-25.766295
"Araucaria angustifolia",-53.052577,-26.078495
"Araucaria angustifolia",-52.680067,-25.99962
"Araucaria angustifolia",-51.909847,-27.465633
"Araucaria angustifolia",-54.821062,-29.887278
"Araucaria angustifolia",-55.795408,-29.790648
"Araucaria angustifolia",-53.72206,-29.7027
"Araucaria angustifolia",-50.788974,-25.725707
"Araucaria angustifolia",-45.97211,-22.88582
"Araucaria angustifolia",-50.158322,-25.099425
"Araucaria angustifolia",-54.072142,-29.353329
"Araucaria angustifolia",-49.499996,-25.69888
"Araucaria angustifolia",-49.726126,-25.300006
"Araucaria angustifolia",-44.174128,-22.734047
"Araucaria angustifolia",-44.66,-22.02
"Araucaria angustifolia",-53.922127,-26.546825
"Araucaria angustifolia",-49.592961,-28.014963
"Araucaria angustifolia",-43.930638,-21.708941
"Araucaria angustifolia",-51.083328,-28.224758
"Araucaria angustifolia",-46.76,-23.54
"Araucaria angustifolia",-53.975984,-25.858384
"Araucaria angustifolia",-54.571939,-25.502658
"Araucaria angustifolia",-54.135232,-25.531219
"Araucaria angustifolia",-53.487654,-28.252427
"Araucaria angustifolia",-51.033659,-25.3642
"Araucaria angustifolia",-52.83905,-27.144929
"Araucaria angustifolia",-50.594077,-28.647932
"Araucaria angustifolia",-54.451215,-25.685352
"Araucaria angustifolia",-49.311581,-25.425268
"Araucaria angustifolia",-46.59,-23.71
"Araucaria angustifolia",-49.31,-22.99
"Araucaria angustifolia",-43.26175,-22.473545
"Araucaria angustifolia",-50.435226,-29.792325
"Araucaria angustifolia",-52.047759,-27.261726
"Araucaria angustifolia",-49.96416,-28.25469
"Araucaria angustifolia",-52.615317,-27.077896
"Araucaria angustifolia",-51.039167,-29.937222
"Araucaria angustifolia",-45.651051,-22.682083
"Araucaria angustifolia",-52.236216,-29.3478
"Araucaria angustifolia",-48.42,-23.04
"Araucaria angustifolia",-43.011742,-22.262975
"Araucaria angustifolia",-51.59745,-25.918408
"Araucaria angustifolia",-52.275942,-25.481055
"Araucaria angustifolia",-50.78303,-29.494775
"Araucaria angustifolia",-53.834438,-26.426118
"Araucaria angustifolia",-45.831815,-23.564141
"Araucaria angustifolia",-48.925682,-27.056591
"Araucaria angustifolia",-42.95,-22.43
"Araucaria angustifolia",-49.823608,-27.397825
"Araucaria angustifolia",-45.03265,-22.086358
"Araucaria angustifolia",-51.891944,-26.085556
"Araucaria angustifolia",-49.612949,-25.43948
"Araucaria angustifolia",-47.144566,-23.550788
"Araucaria angustifolia",-51.586666,-27.776112
"Araucaria angustifolia",-50.46867169,-24.65577876
"Araucaria angustifolia",-51.663863,-29.370934
